
p90p100;1960;0.267
p90p100;1961;
p90p100;1962;
p90p100;1963;
p90p100;1964;
p90p100;1965;
p90p100;1966;
p90p100;1967;
p90p100;1968;
p90p100;1969;
p90p100;1970;0.267
p90p100;1971;
p90p100;1972;
p90p100;1973;
p90p100;1974;
p90p100;1975;
p90p100;1976;
p90p100;1977;
p90p100;1978;0.2781
p90p100;1979;0.2781
p90p100;1980;0.2789
p90p100;1981;0.2831
p90p100;1982;0.2871
p90p100;1983;0.288
p90p100;1984;0.2928
p90p100;1985;0.3014
p90p100;1986;0.3039
p90p100;1987;0.3022
p90p100;1988;0.3056
p90p100;1989;0.3111
p90p100;1990;0.3085
p90p100;1991;0.3151
p90p100;1992;0.3271
p90p100;1993;0.3391
p90p100;1994;0.3433
p90p100;1995;0.339
p90p100;1996;0.339
p90p100;1997;0.3391
p90p100;1998;0.3425
p90p100;1999;0.3479
p90p100;2000;0.3587
p90p100;2001;0.3662
p90p100;2002;0.3968
p90p100;2003;0.4051
p90p100;2004;0.4121
p90p100;2005;0.4216
p90p100;2006;0.4237
p90p100;2007;0.4269
p90p100;2008;0.4269
p90p100;2009;0.4263
p90p100;2010;0.4283
p90p100;2011;0.4311
p90p100;2012;0.4169
p90p100;2013;0.4235
p90p100;2014;0.4155
p90p100;2015;0.4166
p90p100;2016;0.418
p90p100;2017;0.4283
p90p100;2018;0.4253
p90p100;2019;0.4236
p90p100;2020;0.432
p90p100;2021;0.4335
p90p100;2022;0.4335
p0p50;1960;0.2453
p0p50;1961;
p0p50;1962;
p0p50;1963;
p0p50;1964;
p0p50;1965;
p0p50;1966;
p0p50;1967;
p0p50;1968;
p0p50;1969;
p0p50;1970;0.2453
p0p50;1971;
p0p50;1972;
p0p50;1973;
p0p50;1974;
p0p50;1975;
p0p50;1976;
p0p50;1977;
p0p50;1978;0.2437
p0p50;1979;0.243
p0p50;1980;0.2418
p0p50;1981;0.2391
p0p50;1982;0.234
p0p50;1983;0.2365
p0p50;1984;0.2339
p0p50;1985;0.2306
p0p50;1986;0.2177
p0p50;1987;0.2133
p0p50;1988;0.2113
p0p50;1989;0.2053
p0p50;1990;0.2073
p0p50;1991;0.1956
p0p50;1992;0.187
p0p50;1993;0.1782
p0p50;1994;0.1745
p0p50;1995;0.1782
p0p50;1996;0.1837
p0p50;1997;0.1839
p0p50;1998;0.1845
p0p50;1999;0.1781
p0p50;2000;0.1671
p0p50;2001;0.1616
p0p50;2002;0.1497
p0p50;2003;0.1456
p0p50;2004;0.1457
p0p50;2005;0.1385
p0p50;2006;0.1383
p0p50;2007;0.1367
p0p50;2008;0.1364
p0p50;2009;0.1355
p0p50;2010;0.1324
p0p50;2011;0.135
p0p50;2012;0.1392
p0p50;2013;0.1346
p0p50;2014;0.1379
p0p50;2015;0.1377
p0p50;2016;0.1345
p0p50;2017;0.1322
p0p50;2018;0.1328
p0p50;2019;0.1332
p0p50;2020;0.1313
p0p50;2021;0.131
p0p50;2022;0.131
